AAC74278	ycgR
AAC74279	ymgE
AAC74280	ycgY
AAC74281	treA
AAC74282	dhaM
AAC74283	dhaL
AAC74284	dhaK
AAC74285	dhaR
AAC74286	ycgV
AAC74287	ychF
AAC74288	pth
AAC74289	ychH
AAC74290	dauA
AAC74291	prs
AAC74292	ispE
AAC74293	lolB
AAC74294	hemA
AAC74295	prfA
AAC74296	prmC
AAC74297	ychQ
AAC74298	ychA
AAC74299	kdsA
AAT48126	ldrA
AAT48127	ldrB
AAT48128	ldrC
AAC74300	chaA
AAC74301	chaB
AAC74302	chaC
AAC74303	ychN
AAC74304	ychO
AAC74305	narL
AAC74306	narX
AAC74307	narK
AAC74308	narG
AAC74309	narH
AAC74310	narJ
AAC74311	narI
AAC74313	tpr
AAC74314	purU
AAC74315	ychJ
AAC74316	rssA
AAC74317	rssB
AAC74318	galU
AAC74319	hns
AAC74320	tdk
AAC74323	adhE
AAC74324	ychE
AAC74325	oppA
AAC74326	oppB
AAC74327	oppC
AAT48129	oppD
AAC74329	oppF
AAC74330	yciU
AAC74331	clsA
ABP93442	yciY
AAC74332	kch
AAC74333	yciI
AAC74334	tonB
AAC74335	yciA
AAC74336	yciB
AAC74337	yciC
AAC74338	ompW
AAC74339	yciE
AAC74340	yciF
AAC74341	yciG
AAC74342	trpA
AAC74343	trpB
AAC74344	trpC
AAC74345	trpD
AAC74346	trpE
AAC74347	trpL
AAC74348	yciV
AAC74349	yciO
AAC74350	yciQ
AAC74351	rluB
AAC74352	btuR
AAC74353	yciK
AAC74354	sohB
AAC74355	yciN
AAC74356	topA
AAC74357	cysB
ABD18655	ymiA
ABD18656	yciX
AAC74358	acnA
AAC74359	ribA
AAC74360	pgpB
AAC74361	yciS
AAC74362	yciM
AAC74363	pyrF
AAC74364	yciH
AAC74365	osmB
AAC74366	yciT
ABP93443	yciZ
AAC74367	gmr
ACO59991	ymiB
AAC74368	rnb
AAC74369	yciW
AAC74370	fabI
AAC74371	ycjD
AAC74372	sapF
AAC74373	sapD
AAC74374	sapC
AAC74375	sapB
AAC74376	sapA
AAC74377	ymjA
AAC74378	puuP
AAC74379	puuA
AAC74380	puuD
AAC74381	puuR
AAC74382	puuC
AAC74383	puuB
AAC74384	puuE
AAC74385	pspF
AAC74386	pspA
AAC74387	pspB
AAC74388	pspC
AAC74389	pspD
AAC74390	pspE
AAC74391	ycjM
AAC74392	ycjN
AAC74393	ycjO
AAC74394	ycjP
AAC74395	ycjQ
AAC74396	ycjR
AAC74397	ycjS
AAC74398	ycjT
AAC74399	ycjU
AAC74401	ompG
AAC74402	ycjW
AAC74403	ycjX
AAC74404	ycjF
AAC74405	tyrR
AAC74406	tpx
AAC74407	ycjG
AAC74408	mpaA
AAC74409	ycjY
AAC74410	pgrR
AAC74411	mppA
AAC74412	ynaI
AAC74413	insH1
AAC74414	ynaJ
AAC74415	uspE
AAC74416	fnr
AAC74417	ogt
AAC74418	abgT
AAC74419	abgB
AAC74420	abgA
AAC74421	abgR
AAC74422	smrA
AAC74423	ydaM
AAC74424	ydaN
AAC74425	dbpA
AAC74426	ttcA
AAC74427	intR
AAC74428	ydaQ
AAC74429	ydaC
AAC74430	ralR
AAC74431	recT
AAC74432	recE
AAC74433	racC
ABD18659	ydaE
AAC74434	kilR
AAC74435	sieB
AAC74436	ydaF
AAC74437	ydaG
AAC74438	racR
AAC74439	ydaS
AAC74440	ydaT
AAC74441	ydaU
AAC74442	ydaV
ABD18660	rzoR
AAC74445	trkG
AAC74447	ynaK
AAC74452	insH1
AAC74454	stfR
AAC74455	tfaR
AAC74456	pinR
AAC74457	ynaE
AAC74458	uspF
AAC74459	ompN
AAC74460	pfo
ABD18661	ydbJ
AAC74461	hslJ
AAC74462	ldhA
AAC74463	ydbH
AAC74464	ynbE
AAC74465	ydbL
AAC74466	feaR
AAC74467	feaB
AAC74468	tynA
AAC74469	paaZ
AAC74470	paaA
AAC74471	paaB
AAC74472	paaC
AAC74473	paaD
AAC74474	paaE
AAC74475	paaF
AAC74476	paaG
AAC74477	paaH
AAC74478	paaI
AAC74479	paaJ
AAC74480	paaK
AAC74481	paaX
AAC74482	paaY
ACO59992	ynbG
AAC74484	insD1
AAC74485	insC1
AAC74486	insI1
AAC74488	ydbC
AAC74489	ydbD
AAC74490	ynbA
AAC74491	ynbB
AAC74492	ynbC
AAC74493	ynbD
AAC74494	azoR
AAC74495	hrpA
AAC74496	ydcF
AAC74497	aldA
AAC74500	cybB
AAC74501	ydcA
AAT48130	hokB
AAC74502	mokB
AAC74503	trg
AAC74504	ydcI
AAC74505	ydcJ
AAC74506	opgD
AAC74508	ydcH
AAC74509	rimL
AAC74510	ydcK
AAC74511	tehA
AAC74512	tehB
AAC74513	ydcL
AAC74514	insQ
AAC74515	ydcO
AAC74516	ydcN
AAC74517	ydcP
AAC74518	yncJ
AAC74519	hicA
AAC74520	hicB
AAC74521	ydcR
AAC74522	ydcS
AAC74523	ydcT
