data.ecoli_state1_rep1	data.ecoli_state2_rep1	data.ecoli_state2_rep2	data.ecoli_state1_rep2
AAC73409	51.0009470122823	4.4212022702778	5.87644948839777	28.6118503174709
AAC73410	52.2991131558592	2.35723243113179	8.46179488915323	27.8083933920774
AAC73411	67.9343886156235	7.25217310936368	11.2273873416932	32.500186397801
AAC73413	0	0.679289984441467	0	5.36155957212229
AAC73414	11.9425294474462	18.5850157089555	9.80682287460493	21.8821683939449
AAC73415	20.2345040419612	19.7773431754415	15.3394656215948	14.5350698464309
AAC73416	10.8435236700738	28.2172437485781	19.6467798533474	27.1788003420609
AAC73417	19.5524203046561	30.1606667933405	19.9754658404378	38.5661126604795
AAC73418	5.21128557706743	4.47994551722555	3.31000011999548	9.33266535809871
AAC73419	8.59174780391812	14.6031797178489	10.3586334690506	43.4611947915886
AAC73420	0	0	7.46616568420033	0
AAC73421	11.3065367549786	1.11083461683812	4.1130179005861	0
AAC73422	0	1.1043002955626	0	2.9729395529871
AAC73423	4.15392328606824	0.3158001621627	0	0.490488862585216
AAC73424	0	0.666658559110944	0	1.50758440400056
AAC73426	0	0	0	0
AAC73427	0	0	0	0
AAC73428	0	0.0370132196856549	0	0
AAC73429	0	0	0	0
AAC73430	0	0	0	0
AAC73431	0	0	0	0
AAC73432	0	0	0	0
AAC73433	0	0	0	0
AAC73434	0	0	0	0
AAC73436	0	0	0	0
AAC73437	0	0	0	0
AAC73438	0	0	0	0
AAC73439	0	0	0	0
AAC73440	0	0	0	0
AAC73441	0	0	0	0
AAC73442	0	0	0	0
AAC73443	0	0	0	0
AAC73444	2.57850067615315	10.6998698737307	4.44311095652802	0.134605750357193
AAC73445	0	57.9798017023273	59.8122828700937	1.38541591010912
AAC73446	4.9631291210166	47.6946580575373	24.2446762036033	1.10761303151062
AAC73447	0.77048577080298	84.3086521012434	34.2845274525741	2.41204820398131
AAC73448	630.041248654295	864.142336277434	741.192786016366	677.132585638318
AAC73449	0	25.7651288347335	21.0759191313998	5.31830066717399
AAC73450	0	1.16882358869413	1.80718397356075	1.13460785741695
AAC73451	0	1.24821177025028	3.69734055956942	0
